2022-07-04 03:35:15 WARN  NativeCodeLoader:62 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
Arguuments : Namespace(config='config/config.json', key='count_male')
2022-07-04 03:35:16 INFO  SparkContext:54 - Running Spark version 2.4.0
2022-07-04 03:35:16 INFO  SparkContext:54 - Submitted application: vehicle_accident_analysis_results
2022-07-04 03:35:16 INFO  SecurityManager:54 - Changing view acls to: rahul
2022-07-04 03:35:16 INFO  SecurityManager:54 - Changing modify acls to: rahul
2022-07-04 03:35:16 INFO  SecurityManager:54 - Changing view acls groups to: 
2022-07-04 03:35:16 INFO  SecurityManager:54 - Changing modify acls groups to: 
2022-07-04 03:35:16 INFO  SecurityManager:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(rahul); groups with view permissions: Set(); users  with modify permissions: Set(rahul); groups with modify permissions: Set()
2022-07-04 03:35:16 INFO  Utils:54 - Successfully started service 'sparkDriver' on port 39699.
2022-07-04 03:35:17 INFO  SparkEnv:54 - Registering MapOutputTracker
2022-07-04 03:35:17 INFO  SparkEnv:54 - Registering BlockManagerMaster
2022-07-04 03:35:17 INFO  BlockManagerMasterEndpoint:54 - Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information
2022-07-04 03:35:17 INFO  BlockManagerMasterEndpoint:54 - BlockManagerMasterEndpoint up
2022-07-04 03:35:17 INFO  DiskBlockManager:54 - Created local directory at /tmp/blockmgr-95b24462-07aa-446c-b71e-f362141a7387
2022-07-04 03:35:17 INFO  MemoryStore:54 - MemoryStore started with capacity 366.3 MB
2022-07-04 03:35:17 INFO  SparkEnv:54 - Registering OutputCommitCoordinator
2022-07-04 03:35:17 INFO  log:192 - Logging initialized @2526ms
2022-07-04 03:35:17 INFO  Server:351 - jetty-9.3.z-SNAPSHOT, build timestamp: unknown, git hash: unknown
2022-07-04 03:35:17 INFO  Server:419 - Started @2636ms
2022-07-04 03:35:17 WARN  Utils:66 - Service 'SparkUI' could not bind on port 4040. Attempting port 4041.
2022-07-04 03:35:17 INFO  AbstractConnector:278 - Started ServerConnector@159e5d62{HTTP/1.1,[http/1.1]}{0.0.0.0:4041}
2022-07-04 03:35:17 INFO  Utils:54 - Successfully started service 'SparkUI' on port 4041.
2022-07-04 03:35:17 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6fe4f5cf{/jobs,null,AVAILABLE,@Spark}
2022-07-04 03:35:17 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@f3f26b7{/jobs/json,null,AVAILABLE,@Spark}
2022-07-04 03:35:17 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5611a97d{/jobs/job,null,AVAILABLE,@Spark}
2022-07-04 03:35:17 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@7d344da1{/jobs/job/json,null,AVAILABLE,@Spark}
2022-07-04 03:35:17 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@bc8c62e{/stages,null,AVAILABLE,@Spark}
2022-07-04 03:35:17 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@5049dc6b{/stages/json,null,AVAILABLE,@Spark}
2022-07-04 03:35:17 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@e9f38a4{/stages/stage,null,AVAILABLE,@Spark}
2022-07-04 03:35:17 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2194d52{/stages/stage/json,null,AVAILABLE,@Spark}
2022-07-04 03:35:17 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@75b41fad{/stages/pool,null,AVAILABLE,@Spark}
2022-07-04 03:35:17 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@6d991935{/stages/pool/json,null,AVAILABLE,@Spark}
2022-07-04 03:35:17 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@1ac2881e{/storage,null,AVAILABLE,@Spark}
2022-07-04 03:35:17 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@52f935c9{/storage/json,null,AVAILABLE,@Spark}
2022-07-04 03:35:17 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@765114c{/storage/rdd,null,AVAILABLE,@Spark}
2022-07-04 03:35:17 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2210f024{/storage/rdd/json,null,AVAILABLE,@Spark}
2022-07-04 03:35:17 INFO  ContextHandler:781 - Started o.s.j.s.ServletContextHandler@2c1c0e00{/environment,null,AVAILABLE,@Spark}
